"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","BROADWATER","007","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","363,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","CASCADE","013","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","1,048,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","FERGUS","027","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","512,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","GOLDEN VALLEY","037","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","32,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","JUDITH BASIN","045","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","146,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","LEWIS AND CLARK","049","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","652,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","MEAGHER","059","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","757,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","MUSSELSHELL","065","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","143,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","PETROLEUM","069","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED","61,000","(L)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","WHEATLAND","107","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED, AG TOURISM & RECREATIONAL SERVICES - RECEIPTS, MEASURED IN $","TOTAL","NOT SPECIFIED"," (D)","(D)"
