"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","BROADWATER","007","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","316","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","CASCADE","013","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","976","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","FERGUS","027","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","779","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","GOLDEN VALLEY","037","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","153","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","JUDITH BASIN","045","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","291","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","LEWIS AND CLARK","049","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","595","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","MEAGHER","059","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","129","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","MUSSELSHELL","065","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","336","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","PETROLEUM","069","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","101","19.7"
"CENSUS","2022","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","WHEATLAND","107","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","119","19.7"
